brand_name,model_name,screen_size,ram,storage,cpu,operating_system,price,rating,reviews,graphics,card_description
HP,Laptop,16.1,16 GB,1 TB,Ryzen 7,Windows 11 Home,1344,4.0,116.0,Not available,Dedicated
HP,HP,15.6,8 GB,1 TB,Intel Core i5,Windows 11 Home,612,3.0,6.0,Not available,Integrated
HP,HP Laptop,15.6,8 GB,512 GB,Core i5,Windows 11 Home,576,4.0,101.0,Not available,Integrated
HP,15-fa1333tx,15.6,16 GB,1 TB,Intel Core i7,Windows 11 Home,1260,5.0,2.0,Not available,Dedicated
HP,HP Laptop,14.0,8 GB,512 GB,Intel Core i3,Windows 11 Home,442,4.1,1170.0,Not available,Integrated
HP,HP Pavilion,14.0,16 GB,512 GB,Core i5,Windows 11 Home,750,4.3,2009.0,Not available,Integrated
HP,15s-fy5010TU,15.6,8 GB,256 GB,Intel Core i3,Windows 11 Home,432,3.8,233.0,Not available,Integrated
HP,Laptop,15.6,16 GB,512 GB,Core i7,Windows 11 Home,1080,4.1,7.0,Not available,Dedicated
HP,HP Laptop,15.6,8 GB,512 GB,Ryzen 3,Windows 11 Home,382,4.0,54.0,Not available,Integrated
HP,HP Laptop,15.6,16 GB,512 GB,Intel Core i5,Windows 11 Home,804,2.9,6.0,Not available,Integrated
Dell,Latitue 5490,14.0,16 GB,512 GB,Core i5 Family,Windows 10 Pro,612,3.1,702.0,Not available,Integrated
Dell,Vostro 3430,14.0,8 GB,512 GB,Core i3,Windows 11 Home,456,4.1,31.0,Not available,Integrated
HP,15-fa1317X,15.6,16 GB,1 TB,Intel Core i5,Windows 11 Home,1008,3.9,28.0,Not available,Dedicated
HP,14-ew0116TU,14.0,16 GB,512 GB,Core i5,Windows 11 Home,828,3.9,18.0,Not available,Integrated
Dell,5490-cr,14.0,16 GB,512 GB,Core i5 Family,Windows 10 Pro,612,3.6,494.0,Not available,Integrated
HP,15s-fq3066TU,15.6,8 GB,512 GB,Celeron N,Windows 11 Home,336,3.1,61.0,Not available,Integrated
Dell,Vostro,15.6,16 GB,80 TB,Core i5,Windows 11 Home,630,3.5,31.0,Not available,Integrated
Dell,Vostro,14.0,8 GB,512 GB,Core i5,Windows 11 Home,552,3.7,96.0,Intel,Integrated
HP,HP Laptop,15.6,8 GB,512 GB,Ryzen 3,Windows 11 Home,408,4.3,31.0,Not available,Integrated
HP,15-fa1319X,15.6,16 GB,512 GB,Intel Core i5,Windows 11 Home,960,4.0,42.0,Not available,Dedicated
HP,15-fa1307TX,15.6,16 GB,1 TB,Intel Core i5,Windows 11 Home,816,3.4,29.0,Not available,Dedicated
HP,HP Laptop,15.6,8 GB,512 GB,Core i5,Windows 11 Home,684,3.6,13.0,Not available,Integrated
HP,HP Laptop,15.6,8 GB,512 GB,Core i3,Windows 11 Home,426,3.4,41.0,Not available,Integrated
Dell,Inspiron 3520,15.6,16 GB,16 GB,Core i5,Windows 11 Home,597,3.8,38.0,Not available,Integrated
HP,Laptop,16.1,16 GB,1 TB,Ryzen 7,Windows 11 Home,1344,4.0,116.0,Not available,Dedicated
HP,HP,15.6,8 GB,1 TB,Intel Core i5,Windows 11 Home,612,3.0,6.0,Not available,Integrated
HP,HP Laptop,15.6,8 GB,512 GB,Core i5,Windows 11 Home,576,4.0,101.0,Not available,Integrated
HP,HP Laptop,14.0,8 GB,512 GB,Intel Core i3,Windows 11 Home,442,4.1,1170.0,Not available,Integrated
HP,15-fa1333tx,15.6,16 GB,1 TB,Intel Core i7,Windows 11 Home,1260,5.0,2.0,Not available,Dedicated
HP,HP Pavilion,14.0,16 GB,512 GB,Core i5,Windows 11 Home,750,4.3,2009.0,Not available,Integrated
HP,15s-fy5010TU,15.6,8 GB,256 GB,Intel Core i3,Windows 11 Home,432,3.8,233.0,Not available,Integrated
HP,Laptop,15.6,16 GB,512 GB,Core i7,Windows 11 Home,1080,4.1,7.0,Not available,Dedicated
HP,HP Laptop,15.6,8 GB,512 GB,Ryzen 3,Windows 11 Home,382,4.0,54.0,Not available,Integrated
Dell,Latitue 5490,14.0,16 GB,512 GB,Core i5 Family,Windows 10 Pro,612,3.1,702.0,Not available,Integrated
HP,HP Laptop,15.6,16 GB,512 GB,Intel Core i5,Windows 11 Home,804,2.9,6.0,Not available,Integrated
Dell,Vostro 3430,14.0,8 GB,512 GB,Core i3,Windows 11 Home,456,4.1,31.0,Not available,Integrated
HP,15-fa1317X,15.6,16 GB,1 TB,Intel Core i5,Windows 11 Home,1008,3.9,28.0,Not available,Dedicated
HP,14-ew0116TU,14.0,16 GB,512 GB,Core i5,Windows 11 Home,828,3.9,18.0,Not available,Integrated
Dell,5490-cr,14.0,16 GB,512 GB,Core i5 Family,Windows 10 Pro,612,3.6,494.0,Not available,Integrated
HP,15s-fq3066TU,15.6,8 GB,512 GB,Celeron N,Windows 11 Home,336,3.1,61.0,Not available,Integrated
Dell,Vostro,15.6,16 GB,80 TB,Core i5,Windows 11 Home,630,3.5,31.0,Not available,Integrated
Dell,Vostro,14.0,8 GB,512 GB,Core i5,Windows 11 Home,552,3.7,96.0,Intel,Integrated
HP,HP Laptop,15.6,8 GB,512 GB,Ryzen 3,Windows 11 Home,408,4.3,31.0,Not available,Integrated
HP,15-fa1319X,15.6,16 GB,512 GB,Intel Core i5,Windows 11 Home,960,4.0,42.0,Not available,Dedicated
HP,15-fa1307TX,15.6,16 GB,1 TB,Intel Core i5,Windows 11 Home,816,3.4,29.0,Not available,Dedicated
HP,HP Laptop,15.6,8 GB,512 GB,Core i5,Windows 11 Home,684,3.6,13.0,Not available,Integrated
HP,HP Laptop,15.6,8 GB,512 GB,Core i3,Windows 11 Home,426,3.4,41.0,Not available,Integrated
Dell,Inspiron 3520,15.6,16 GB,16 GB,Core i5,Windows 11 Home,597,3.8,38.0,Not available,Integrated
HP,Laptop,16.1,16 GB,1 TB,Ryzen 7,Windows 11 Home,1344,4.0,116.0,Not available,Dedicated
HP,HP,15.6,8 GB,1 TB,Intel Core i5,Windows 11 Home,612,3.0,6.0,Not available,Integrated
HP,HP Laptop,15.6,8 GB,512 GB,Core i5,Windows 11 Home,576,4.0,101.0,Not available,Integrated
HP,15-fa1333tx,15.6,16 GB,1 TB,Intel Core i7,Windows 11 Home,1260,5.0,2.0,Not available,Dedicated
HP,HP Laptop,14.0,8 GB,512 GB,Intel Core i3,Windows 11 Home,442,4.1,1170.0,Not available,Integrated
HP,HP Pavilion,14.0,16 GB,512 GB,Core i5,Windows 11 Home,750,4.3,2009.0,Not available,Integrated
HP,15s-fy5010TU,15.6,8 GB,256 GB,Intel Core i3,Windows 11 Home,432,3.8,233.0,Not available,Integrated
HP,Laptop,15.6,16 GB,512 GB,Core i7,Windows 11 Home,1080,4.1,7.0,Not available,Dedicated
HP,HP Laptop,15.6,8 GB,512 GB,Ryzen 3,Windows 11 Home,382,4.0,54.0,Not available,Integrated
Dell,Latitue 5490,14.0,16 GB,512 GB,Core i5 Family,Windows 10 Pro,612,3.1,702.0,Not available,Integrated
HP,HP Laptop,15.6,16 GB,512 GB,Intel Core i5,Windows 11 Home,804,2.9,6.0,Not available,Integrated
Dell,Vostro 3430,14.0,8 GB,512 GB,Core i3,Windows 11 Home,456,4.1,31.0,Not available,Integrated
HP,15-fa1317X,15.6,16 GB,1 TB,Intel Core i5,Windows 11 Home,1008,3.9,28.0,Not available,Dedicated
HP,14-ew0116TU,14.0,16 GB,512 GB,Core i5,Windows 11 Home,828,3.9,18.0,Not available,Integrated
Dell,5490-cr,14.0,16 GB,512 GB,Core i5 Family,Windows 10 Pro,612,3.6,494.0,Not available,Integrated
HP,15s-fq3066TU,15.6,8 GB,512 GB,Celeron N,Windows 11 Home,336,3.1,61.0,Not available,Integrated
Dell,Vostro,15.6,16 GB,80 TB,Core i5,Windows 11 Home,630,3.5,31.0,Not available,Integrated
Dell,Vostro,14.0,8 GB,512 GB,Core i5,Windows 11 Home,552,3.7,96.0,Intel,Integrated
